区分,ルール名,売買条件例,狙い・特徴,主カテゴリ,補助カテゴリ,戦略ファミリー,役割,同時発生時の期待効果,衝突しやすいカテゴリ,相互影響分析メモ,カテゴリタグ
買い,移動平均トレンドフォロー,終値 > 200日MA かつ 20日MA > 60日MA,大きな上昇トレンドに乗る。最も基本的で検証しやすい,順張り系,トレンド確認,TrendFollowing,Entry,買い継続/新規買い,平均回帰系;過熱利確系,上位足トレンドが下向きなら抑制,順張り系;トレンド確認;TrendFollowing;Entry
買い,クロスセクション・モメンタム,過去6〜12か月リターン上位10〜20%を買う。直近1か月は除外することも多い,相対的に強い銘柄を買う。銘柄選択型のクオンツ戦略に向く,順張り系,モメンタム選別,Momentum,Entry,銘柄選択,平均回帰系,絶対トレンド確認を併用,順張り系;モメンタム選別;Momentum;Entry
買い,高値ブレイクアウト,終値 > 過去20日または55日高値,レンジ上放れやトレンド初動を狙う,ブレイクアウト系,順張り系,Breakout,Entry,レンジ上放れ,過熱利確系,出来高/ボラ確認があると信頼度上昇,ブレイクアウト系;順張り系;Breakout;Entry
買い,上昇トレンド中のRSI押し目買い,終値 > 200日MA かつ RSI(14) < 30 または RSI(2) < 10,上昇トレンド中の一時的な売られすぎを拾う,押し目系,順張り系,Pullback,Entry,上昇中の短期売られすぎ,下落ブレイク系,長期トレンド維持が前提,押し目系;順張り系;Pullback;Entry
買い,ボラティリティ収縮後の上放れ,ボリンジャーバンド幅が過去120日下位20% かつ 終値 > 上側バンド,値動きの圧縮後に発生する大きなトレンドを狙う,ブレイクアウト系,ボラ収縮系,VolBreakout,Entry,低ボラ後の上放れ,平均回帰系;過熱利確系,スクイーズ後の拡大を狙う,ブレイクアウト系;ボラ収縮系;VolBreakout;Entry
買い,短期リバーサル買い,過去3〜5日リターンが大幅マイナス かつ 出来高急増 かつ 長期トレンド維持,短期的な売られすぎ・過剰反応の反発を狙う,平均回帰系,押し目系,MeanReversion,Entry,短期過剰反応の反発,ブレイクアウト系;下落トレンド系,短期限定・損切り厳格,平均回帰系;押し目系;MeanReversion;Entry
買い,ペア・スプレッド平均回帰の買い,類似銘柄ペアのスプレッドz-score < -2 で割安側を買う,市場全体ではなく相対価格の歪みを狙う,平均回帰系,ペアトレード系,RelativeValue,Entry,相対価格の歪み,順張り系,市場方向よりスプレッドを優先,平均回帰系;ペアトレード系;RelativeValue;Entry
売り,移動平均デッドクロス・トレンド崩れ,20日MA < 60日MA または 終値 < 200日MA,上昇トレンドの終了を検知して手仕舞う,トレンド崩れ系,リスク回避系,TrendExit,Exit,上昇トレンド終了,押し目系,買いルールより上位のリスク制御,トレンド崩れ系;リスク回避系;TrendExit;Exit
売り,モメンタム劣化売り,保有銘柄の過去6〜12か月リターン順位が上位20%から中央以下に低下,買った理由である相対的な強さが失われたら撤退する,トレンド崩れ系,モメンタム劣化系,MomentumExit,Exit,相対的強さ喪失,押し目系,クロスセクション戦略の撤退条件,トレンド崩れ系;モメンタム劣化系;MomentumExit;Exit
売り,Donchian・ATRトレーリングストップ,終値 < 過去20日安値 または 高値から2〜3ATR下落,利益を伸ばしつつ、トレンド反転時に撤退する,トレーリング系,リスク回避系,TrailingExit,Exit,利益保護/反転撤退,押し目系,順張り保有の出口,トレーリング系;リスク回避系;TrailingExit;Exit
売り,RSI過熱売り,RSI(14) > 70、強い上昇相場では RSI > 80 で一部利確,買われすぎ局面で利益確定する,過熱利確系,逆張り利確系,OverheatExit,Exit,買われすぎの一部利確,ブレイクアウト系;バンドウォーク系,強いトレンドでは早売り注意,過熱利確系;逆張り利確系;OverheatExit;Exit
売り,ボリンジャーバンド上抜け失敗売り,終値が上側バンドを超えた後、数日以内にバンド内へ戻る,ブレイク失敗による反落を狙う,失敗ブレイク回避系,過熱利確系,FailedBreakoutExit,Exit,ブレイク失敗検知,ブレイクアウト系,数日内の失速確認が重要,失敗ブレイク回避系;過熱利確系;FailedBreakoutExit;Exit
売り,ペア・スプレッド割高売り,類似銘柄ペアのスプレッドz-score > +2 で割高側を売る,相対的に割高になった銘柄の平均回帰を狙う,平均回帰系,ペアトレード系,RelativeValueExit,Exit/Short,割高側の平均回帰,順張り系,ペアの定常性確認が前提,平均回帰系;ペアトレード系;RelativeValueExit;Exit/Short
売り,時間切れ売り・期待値未達売り,買ってからN日以内に+X%進まない、または20営業日後のリターンが0%未満なら売る,シグナルの有効期限を明確にし、資金拘束を避ける,時間管理系,リスク回避系,TimeExit,Exit,資金拘束回避,順張り継続系,シグナルの有効期限管理,時間管理系;リスク回避系;TimeExit;Exit
買い,BBスクイーズ上放れ,20日BB幅が過去120日下位20% かつ 終値 > +2σ かつ 出来高 > 20日平均出来高,低ボラティリティ後の急伸初動を狙う。勝率と正答時リターンの両立を重視,ブレイクアウト系,ボラ収縮系,VolBreakout,Entry,低ボラ後の急伸初動,過熱利確系;平均回帰系,出来高確認で信頼度上昇,ブレイクアウト系;ボラ収縮系;VolBreakout;Entry
買い,BB上限ブレイク継続,終値 > +2σ かつ 20日MAが5日前より上昇 かつ 翌日も終値が+1σ以上,一時的な上抜けではなくバンドウォークに入る銘柄を狙う,順張り系,ブレイクアウト系,TrendContinuation,Entry,バンドウォーク初動,過熱利確系,翌日確認でダマシ抑制,順張り系;ブレイクアウト系;TrendContinuation;Entry
買い,BB中央線押し目買い,終値が20日MA付近まで下落後、終値 > 20日MA かつ 20日MA上向き かつ 直近高値を更新,上昇トレンド中の押し目反発を狙う。過熱ブレイクより勝率重視,押し目系,順張り系,Pullback,Entry,上昇トレンド中の反発,トレンド崩れ系,20日MAの向きが重要,押し目系;順張り系;Pullback;Entry
買い,BB下限フェイクアウト反発,安値 < -2σ かつ 終値 > -1σ かつ 翌日終値 > 前日高値,投げ売り後の急反発を狙う。ただし短期限定で検証する,平均回帰系,押し目系,MeanReversion,Entry,投げ売り後の反発,下落ブレイク系,短期限定で扱う,平均回帰系;押し目系;MeanReversion;Entry
買い,BB幅拡大トレンド開始,BB幅が前日比で拡大 かつ 終値 > +1σ かつ 20日MA > 60日MA,ボラティリティ拡大を伴う上昇トレンド初動を狙う,ブレイクアウト系,順張り系,TrendInitiation,Entry,ボラ拡大を伴う上昇初動,過熱利確系,トレンド条件で補強,ブレイクアウト系;順張り系;TrendInitiation;Entry
買い,BBパーセントB急回復,%Bが0.2未満から2日以内に0.8超へ回復 かつ 終値 > 20日MA,売られ過ぎからの強い買い戻しを狙う,平均回帰系,押し目系,MeanReversion,Entry,売られすぎからの買い戻し,下落ブレイク系,急回復後の継続確認が必要,平均回帰系;押し目系;MeanReversion;Entry
買い,BB上限張り付き,過去5日のうち3日以上で終値 > +1σ かつ 終値が20日MAを下回らない,強い銘柄が強いまま上がる局面を狙う,順張り系,バンドウォーク系,TrendContinuation,Entry/Hold,強いトレンド継続,過熱利確系,利確より保有継続寄り,順張り系;バンドウォーク系;TrendContinuation;Entry/Hold
買い,BB収縮後のギャップ上放れ,BB幅が過去120日下位25% かつ 当日始値 > 前日高値 かつ 終値 > +2σ,材料発生後の大陽線・窓開け継続を狙う,ブレイクアウト系,ボラ収縮系,GapBreakout,Entry,材料後の窓開け継続,過熱利確系,寄り天リスクを監視,ブレイクアウト系;ボラ収縮系;GapBreakout;Entry
売り,BB上限失速利確,終値 > +2σの翌日以降、終値 < +1σ かつ 高値更新失敗,バンドウォーク終了時の利益確定。勝ちトレードの利益を守る,過熱利確系,失敗ブレイク回避系,OverheatExit,Exit,バンドウォーク終了,順張り系;ブレイクアウト系,高値更新失敗が確認条件,過熱利確系;失敗ブレイク回避系;OverheatExit;Exit
売り,BB中央線割れ手仕舞い,買い建て後、終値 < 20日MA かつ 20日MAが横ばいまたは下向き,上昇トレンド崩れを早めに検知する,トレンド崩れ系,リスク回避系,TrendExit,Exit,上昇トレンド崩れ,押し目系,MAの向きで押し目と崩れを区別,トレンド崩れ系;リスク回避系;TrendExit;Exit
売り,BB幅急拡大後の反落,BB幅が過去120日上位20% かつ 終値 < +1σ かつ 前日比マイナス,過熱後の反落を避ける。高ボラ局面の利益確定,過熱利確系,高ボラ回避系,OverheatExit,Exit,過熱後の反落回避,ブレイクアウト系,高ボラ新規買いを抑制,過熱利確系;高ボラ回避系;OverheatExit;Exit
売り,BB下方ブレイク回避,終値 < -2σ かつ 20日MA下向き かつ BB幅拡大,下落トレンド加速の回避またはショート候補,下落ブレイク系,リスク回避系,DownsideBreakout,Exit/Short,下落加速回避,平均回帰系;押し目系,ロング回避の優先条件,下落ブレイク系;リスク回避系;DownsideBreakout;Exit/Short
買い,MACDゴールデンクロス,MACDがシグナルを下から上抜け かつ MACDヒストグラムが2日連続改善,モメンタム反転の初動を狙う,順張り系,モメンタム反転系,MomentumEntry,Entry,モメンタム反転初動,トレンド崩れ系,長期下落中は反発扱い,順張り系;モメンタム反転系;MomentumEntry;Entry
買い,MACDゼロライン上抜け,MACD > 0へ転換 かつ シグナル > 0 かつ 終値 > 20日高値,短期EMAが長期EMAを上回る強い上昇局面を狙う,順張り系,モメンタム確認系,MomentumEntry,Entry,上昇モメンタム確認,平均回帰系,高値更新と併用,順張り系;モメンタム確認系;MomentumEntry;Entry
買い,MACDヒストグラム加速,MACDヒストグラムが3日連続上昇 かつ 終値が5日高値を更新,価格上昇とモメンタム加速が一致する局面を狙う,順張り系,モメンタム加速系,MomentumEntry,Entry,価格と勢いの一致,過熱利確系,加速末期の過熱に注意,順張り系;モメンタム加速系;MomentumEntry;Entry
買い,MACD押し目再加速,MACD > 0 かつ ヒストグラムが一度低下後に再上昇 かつ 終値 > 20日MA,上昇トレンド中の再加速を狙う。初回クロスよりダマシを減らす,押し目系,モメンタム再加速系,Pullback,Entry,上昇中の再加速,トレンド崩れ系,初回クロスより継続重視,押し目系;モメンタム再加速系;Pullback;Entry
買い,MACD強気ダイバージェンス,価格が安値更新 かつ MACDは安値を切り上げ かつ 翌日終値 > 前日高値,下落圧力の弱まりから反発を狙う,平均回帰系,反転確認系,ReversalEntry,Entry,下落圧力弱まりの反発,下落ブレイク系,短期反転として扱う,平均回帰系;反転確認系;ReversalEntry;Entry
買い,MACD高位安定,MACD > 0 かつ シグナル > 0 かつ 両方が5日連続上昇,明確な上昇モメンタムだけに絞る高勝率型,順張り系,モメンタム確認系,TrendContinuation,Entry/Hold,強い上昇モメンタム継続,過熱利確系,利伸ばしと相性良い,順張り系;モメンタム確認系;TrendContinuation;Entry/Hold
売り,MACDデッドクロス,MACDがシグナルを上から下抜け かつ ヒストグラム < 0,上昇モメンタム低下時の手仕舞い,トレンド崩れ系,モメンタム劣化系,MomentumExit,Exit,上昇モメンタム低下,押し目系,押し目との判定差に注意,トレンド崩れ系;モメンタム劣化系;MomentumExit;Exit
売り,MACDゼロライン下抜け,MACD < 0へ転換 かつ 終値 < 20日MA,トレンド悪化を確認して撤退する,トレンド崩れ系,リスク回避系,MomentumExit,Exit,トレンド悪化確認,平均回帰系,ロング抑制,トレンド崩れ系;リスク回避系;MomentumExit;Exit
売り,MACDヒストグラム減速,MACDヒストグラムが3日連続低下 かつ 終値が5日安値を更新,価格下落とモメンタム悪化の一致を確認する,トレンド崩れ系,モメンタム劣化系,MomentumExit,Exit,価格下落と勢い悪化,押し目系,単発減速ではなく連続性重視,トレンド崩れ系;モメンタム劣化系;MomentumExit;Exit
売り,MACD弱気ダイバージェンス,価格が高値更新 かつ MACDは高値を切り下げ かつ 翌日終値 < 前日安値,上昇トレンド終盤の失速を検知する,過熱利確系,反転警戒系,DivergenceExit,Exit,高値圏の失速警戒,順張り系,天井形成の確認条件,過熱利確系;反転警戒系;DivergenceExit;Exit
買い,BBスクイーズ＋MACD上向き,BB幅が過去120日下位20% かつ 終値 > +2σ かつ MACD > シグナル かつ ヒストグラム > 0,最も重視したい候補。ボラ拡大とモメンタム転換が同時に出る局面を狙う,ブレイクアウト系,モメンタム確認系,VolBreakout,Entry,低ボラ拡大＋勢い確認,過熱利確系,主力候補だが重複カウント注意,ブレイクアウト系;モメンタム確認系;VolBreakout;Entry
買い,BB上放れ＋MACDゼロ上,終値 > +2σ かつ MACD > 0 かつ シグナル > 0 かつ 20日MA上向き,強い上昇トレンドへの順張り。正答時の騰落率を狙う,ブレイクアウト系,順張り系,BreakoutMomentum,Entry,強い上昇トレンド順張り,過熱利確系,正答時リターン狙い,ブレイクアウト系;順張り系;BreakoutMomentum;Entry
買い,BB中央線押し目＋MACD再加速,終値が20日MA近辺まで下落後に反発 かつ MACD > 0 かつ ヒストグラムが再上昇,トレンド銘柄の押し目を拾う。勝率重視,押し目系,モメンタム再加速系,Pullback,Entry,トレンド銘柄の押し目,トレンド崩れ系,勝率重視の候補,押し目系;モメンタム再加速系;Pullback;Entry
買い,BB下限反発＋MACD強気ダイバージェンス,安値 < -2σ かつ 終値 > -1σ かつ 価格は安値更新 かつ MACDは安値切り上げ,急落後の反転を厳選。逆張りだが確認条件を多くしてダマシを減らす,平均回帰系,反転確認系,ReversalEntry,Entry,急落後の厳選反転,下落ブレイク系,逆張りなのでサイズ控えめ,平均回帰系;反転確認系;ReversalEntry;Entry
買い,BBバンドウォーク＋MACD高位継続,終値が+1σ以上で3日以上推移 かつ MACD > 0 かつ ヒストグラムが0以上を維持,強いトレンドの継続局面を狙う。利を伸ばす前提,順張り系,バンドウォーク系,TrendContinuation,Entry/Hold,強トレンド継続,過熱利確系,早すぎる利確と衝突,順張り系;バンドウォーク系;TrendContinuation;Entry/Hold
買い,BB収縮ブレイク＋MACD出来高確認,BB幅が過去120日下位25% かつ 終値 > +2σ かつ MACD > シグナル かつ 出来高 > 20日平均の1.5倍,ブレイクの信頼度を出来高で補強する,ブレイクアウト系,出来高確認系,VolBreakout,Entry,出来高でブレイク信頼度補強,過熱利確系,主力ブレイク候補,ブレイクアウト系;出来高確認系;VolBreakout;Entry
買い,BBフェイク下抜け＋MACD改善,一時的に-2σ割れ後、終値が20日MAを回復 かつ MACDヒストグラムが3日連続改善,下抜け失敗からの踏み上げ・買い戻しを狙う,平均回帰系,押し目系,MeanReversion,Entry,下抜け失敗後の買い戻し,下落ブレイク系,20日MA回復が鍵,平均回帰系;押し目系;MeanReversion;Entry
買い,BB高値更新＋MACD二段上げ,終値 > 過去20日高値 かつ 終値 > +1σ かつ MACDヒストグラムが前回ピークを更新,トレンドの二段上げを狙う。正答時リターン重視,順張り系,ブレイクアウト系,TrendContinuation,Entry,二段上げの継続,過熱利確系,リターン重視だが過熱警戒,順張り系;ブレイクアウト系;TrendContinuation;Entry
売り,BB上限失速＋MACDデッドクロス,終値 < +1σ かつ MACDがシグナルを下抜け かつ ヒストグラム < 0,上昇トレンド失速を確認して利確する,過熱利確系,モメンタム劣化系,OverheatExit,Exit,上昇失速の利確,順張り系;バンドウォーク系,利確・縮小を優先,過熱利確系;モメンタム劣化系;OverheatExit;Exit
売り,BB中央線割れ＋MACD悪化,終値 < 20日MA かつ MACDヒストグラムが3日連続低下,押し目ではなくトレンド崩れの可能性が高い局面で撤退,トレンド崩れ系,リスク回避系,TrendExit,Exit,押し目でなく崩れを検知,押し目系,撤退優先度高め,トレンド崩れ系;リスク回避系;TrendExit;Exit
売り,BB高ボラ反落＋MACD弱気化,BB幅が過去120日上位20% かつ 終値 < +1σ かつ MACDヒストグラム < 0,過熱後の反落を回避。大きな含み益を守る,過熱利確系,高ボラ回避系,OverheatExit,Exit,過熱後の反落回避,ブレイクアウト系,新規買い抑制,過熱利確系;高ボラ回避系;OverheatExit;Exit
売り,BB下抜け＋MACDゼロ下,終値 < -2σ かつ MACD < 0 かつ シグナル < 0,下落加速を確認。ロング回避またはショート候補,下落ブレイク系,リスク回避系,DownsideBreakout,Exit/Short,下落加速確認,平均回帰系;押し目系,ロング禁止寄り,下落ブレイク系;リスク回避系;DownsideBreakout;Exit/Short
売り,BB弱気ダイバージェンス確認,価格が+2σ付近で高値更新 かつ MACDは高値切り下げ かつ 終値 < 前日安値,高値圏の天井形成を狙う,過熱利確系,反転警戒系,DivergenceExit,Exit,高値圏の天井警戒,順張り系,一部利確/縮小に向く,過熱利確系;反転警戒系;DivergenceExit;Exit
買い,高勝率フィルター付きBB＋MACD,終値 > +2σ かつ MACD > シグナル かつ 20日MA > 60日MA かつ 60日MA > 120日MA,上位足トレンドと短期ブレイクを一致させる。勝率優先,ブレイクアウト系,順張り系,FilteredBreakout,Entry,上位足一致の高勝率狙い,過熱利確系,条件が重複しすぎないか検証,ブレイクアウト系;順張り系;FilteredBreakout;Entry
買い,高騰落率フィルター付きBB＋MACD,BB幅が過去120日下位15% かつ 終値 > +2σ かつ MACDヒストグラムが直近20日最大 かつ 出来高急増,大きく伸びる初動だけを狙う。シグナル数は少ないが期待値重視,ブレイクアウト系,ボラ収縮系,FilteredBreakout,Entry,大きく伸びる初動狙い,過熱利確系,シグナル数が少なく検証注意,ブレイクアウト系;ボラ収縮系;FilteredBreakout;Entry
売り,誤シグナル回避ルール,買いシグナル後3日以内に終値 < 20日MA または MACDヒストグラム < 0なら撤退,ブレイク失敗を早期損切りし、勝率と平均損益を改善する,失敗ブレイク回避系,リスク回避系,FailedSignalExit,Exit,ブレイク失敗の早期損切り,ブレイクアウト系,禁止でなく早期撤退条件,失敗ブレイク回避系;リスク回避系;FailedSignalExit;Exit
売り,利伸ばし型トレーリング,買い後、終値が+1σ以上なら保有継続し、終値 < 20日MA または MACDデッドクロスで売却,正答時の騰落率を伸ばすため、早すぎる利確を避ける,トレーリング系,順張り継続系,TrailingExit,Exit/Hold,利を伸ばす保有管理,過熱利確系,早利確を抑えトレンド継続を優先,トレーリング系;順張り継続系;TrailingExit;Exit/Hold
